State ID,State,Region,Kingdom Name,Ancient Vehicle Name,Ancient Vehicle Description,Modern Vehicle Name,Modern Vehicle Description
"andhra-pradesh","Andhra Pradesh","south","Dharmakshetra Amaravati","Vega-Naukha (River Wind Boat)","A swift war-raft built from river-iron and bamboo shaped like a blackbuck","Vega-Nadi Mk.II (Hydrofoil Strike Craft)","A deep-blue hydrofoil jet-boat skimming at 180 km/h on foils. Hull painted with Kalamkari patterns doubling as reactive camouflage. Twin drone launchers built in."
"telangana","Telangana","south","Chaya-Golkonda — The Shadow Fortress","Chitra-Vahana (The Spotted Mount)","A single trained spotted deer named Chitta — no chariot, no saddle. Chittaranga grips with his knees. The deer changes direction seventeen times per second.","Chaya-Vega Mk.II (Adaptive Stealth Motorcycle)","A matte-black stealth motorcycle with spotted-pattern adaptive camouflage that mimics the environment in real time. Completely silent on electric — disappears into traffic within seconds."
"tamil-nadu","Tamil Nadu","south","Sangam Tamilakam — The Eternal Assembly","Parvat-Vahan (Mountain Carrier)","A high-altitude war platform carried by eight hill-tribe warriors across terrain no wheeled vehicle can reach. Doubles as a siege platform placed against cliff faces.","Kurinji-Ratha (Mountain ATV)","A single-pilot armored all-terrain vehicle with vertical cliff capability using magnetic track adhesion. Deep purple finish with kurinji flower inlay. Designed to drive up a 90-degree cliff face."
"kerala","Kerala","south","Parashurama-Kshetra — The Axe-Born Land","Kala-Gaja (The Black Temple War Elephant)","A massive black temple elephant named Shaasthi — one of the last descendants of the lineage Parashurama","Gaja-Ratha Mk.II (Armored War Elephant Transport)","A massive APC shaped after elephant anatomy — rounded frontal armor for ramming. Seismic sensors in the tracks replicate the elephant"
"karnataka","Karnataka","south","Vijayanagara Reborn","Gajashri-Ratha (The Sacred Elephant Chariot)","A vast war chariot pulled by four royal elephants in full Vijayanagara caparison — the chariot platform can carry twelve warriors and functions as a mobile command fort.","Gaja-Ratha (Seismic Command Vehicle)","A heavy command vehicle with seismic pulse emitters built into the undercarriage — it maps underground structures as it drives, and was instrumental in locating the buried temple system."
"maharashtra","Maharashtra","west","Swarajya Sahyadri — The Free Mountains","Vanara-Jaal (The Monkey Network)","Not one vehicle but a network — a series of rope-bridges, pulleys and ziplines built between seventeen hill forts. Shivagati can travel 40 km through the Sahyadri without touching the ground.","Vanara-Vega Mk.II (Magnetic Wall-Climbing Bike)","A lightweight motorcycle with electromagnetic track wheels that can drive on vertical surfaces. Tri-colour camouflage matches the giant squirrel"
"gujarat","Gujarat","west","Simha-Dwara — The Lion","Simha-Ratha (The Lion","A gold-plated war chariot drawn by two trained Asiatic lions — Vega and Krodha — the only war-trained lions in all of Bharata. Built low and fast for Gir Forest terrain. Simhavikrama","Simha-Vahana Mk.II (Golden Command SUV)","A gold-armored command vehicle with lion-roar sonic emitters built into the grille. Active terrain scanner for Gir-forest and Kutch-terrain navigation. The most recognisable vehicle in the west — no one mistakes it for anything else."
"goa","Goa","west","Samudra-Dvipa — The Ocean","Samudra-Dhow (The Ocean","A three-masted war dhow carrying a gaur-head ram at the prow. Sails of woven Goan silk — hard as canvas, light as cloth. Can navigate the underwater cave passages of the Goan coast that no other vessel can enter.","Samudra-Vahana Mk.II (Fast Attack Hydrocraft)","A low-profile attack hydrofoil that can transition from sea surface to submarine mode in forty seconds. Built for the cave-network passages — narrower than any other naval vessel in the saga."
"rajasthan","Rajasthan","west","Maru-Maya — The Desert Illusion","Maru-Ratha (The Mirage Chariot)","A sand-coloured chariot draped in mirror-cloth that reflects the desert so perfectly it disappears in full daylight. Pulled by two chinkara-gaited war horses trained to move without raising dust.","Maru-Vega (Desert Phantom SUV)","An adaptive camouflage desert vehicle — active surface panels change colour and texture to match terrain. Thermal-suppression system makes it invisible to infrared. Runs silent on sand-tyres."
"west-bengal","West Bengal","east","Sundara-Vana — The Beautiful Forest","Jal-Nauka (The Water Web Boat)","A flat-bottomed mangrove punt that navigates the Sundarbans tidal channels no other vessel can enter. Covered in fishing-cat-brown camouflage bark. Silent on the water — no oars, steered by pole.","Jal-Vahana (Amphibious Assault Craft)","An amphibious vehicle that transitions between water and mud-flat terrain seamlessly. Sonar-mapped Sundarbans navigation. Invisible to satellite due to mangrove-canopy routing system."
"odisha","Odisha","east","Kalinga-Chakra — The Wheel of Kalinga","Dharma-Ratha (The Chariot of the Wheel)","A war chariot styled after the Konark Sun Temple wheel — twelve spokes, each carrying a different weapon. The wheel design is both structural and symbolic — it is also the vehicle","Dharma-Chakra (Armored Wheel Vehicle)","A gyroscope-stabilised armored vehicle that can travel on two wheels — faster and more agile than any four-wheeled equivalent. The wheel design generates kinetic energy on movement, powering the weapon systems."
"bihar","Bihar","east","Vajra-Bhumi — The Thunderbolt Land","Maha-Gaur (The Great Bull Mount)","A war-trained gaur bull named Shankara — the largest animal mount in the east. No saddle, no reins. Vajramukha grips the horns. The animal charges when he does. They are indistinguishable in combat.","Vajra-Ratha (Heavy Assault Tank)","A frontal-assault tank with a gaur-horn battering ram built into the prow. No ranged weapons — designed to close distance and ram. The most heavily armored vehicle in the eastern kingdoms. Nothing stops it except itself."
"jharkhand","Jharkhand","east","Vana-Agni — The Forest Fire","Maa-Hastini (The Mother Elephant Mount)","A wild forest elephant named Durga — not tamed, bonded. Vanajara communicates with her through subsonic vibrations. She charges exactly when he needs her to, and not before.","Aranya-Vahana (Elephant-Guided Biodiesel Tracker)","A biodiesel forest vehicle that follows elephant trails — the only paths through Jharkhand"
"uttar-pradesh","Uttar Pradesh","north","Ganga-Simhasana — The Throne of the Ganga","Dwadash-Ratha (The Twelve-Horse War Chariot)","A twelve-horse war chariot — one horse per prong of his spear, in twelve different colours representing twelve philosophical traditions. The largest personal chariot in the saga. Gold-and-ivory Gangetic motifs. When it moves, it moves with the weight of everything Varanasi knows.","Dwadash-Vahana (Twelve-Seat Command Vehicle)","A twelve-seat mobile command headquarters — each seat equipped with a different intelligence feed. Gangaputra sits at the centre. Quantum-spear targeting integrated into the vehicle"
"uttarakhand","Uttarakhand","north","Deva-Bhumi — The Land of the Gods","Hima-Vahana (The High-Mountain Yak)","A specially bred high-altitude yak with wool thick enough to sleep inside at -30°C. No faster than a walk on the high passes — but absolutely nothing else can carry weight at that altitude. Kasturika uses its body heat on bivouac nights.","Hima-Vega Mk.II (High-Altitude VTOL Interceptor)","A vertical take-off-and-landing interceptor designed for operations above 5000m. Musk-deer-grey finish invisible against Himalayan rock. Altitude record for operational combat flight in the saga."
"himachal-pradesh","Himachal Pradesh","north","Hima-Chhaya — The Shadow of Snow","Hima-Shardula (The Snow Leopard Mount)","A snow leopard named Kailash — bonded not tamed. Moves in absolute silence. In full blizzard conditions they become one grey shape, indistinguishable from stone and drifted snow. The only mount in the saga that leaves no tracks.","Hima-Vahana (Stealth Snow Terrain Vehicle)","A low-profile snow vehicle with active thermal camouflage — surface temperature matches surrounding snow. Silent electric drivetrain. The tracks self-erase behind it. Radar cross-section smaller than a snow leopard."
"punjab","Punjab","north","Panch-Nada — The Five Rivers","Panch-Ratha (The Five-River Chariot)","A wide-axle war chariot built to cross river fords at speed — five different hull configurations that fold out depending on terrain. The standard command vehicle of Punjab","Panch-Vahana (Five-River Convoy Command Vehicle)","A convoy command vehicle flanked by four autonomous escort units — the central vehicle and its four escorts represent the five rivers. Operates as a unit in all formations. Losing any one triggers the other four to compensate."
"haryana","Haryana","north","Kurukshetra-Bhoomi — The Battlefield Earth","Bhumi-Ratha (The Battleground Chariot)","Built from iron excavated from the Kurukshetra field — every plank, every axle has ancient battlefield iron in it. It is heavier than any comparable chariot, which is why she drives it herself — no horse bears the weight without her direction.","Bhumi-Ratha Mk.II (Battlefield History Vehicle)","A ground-penetrating radar vehicle that maps ancient battlefield iron while it drives — it literally reads the battle below as it fights above. The only vehicle in the saga that knows the terrain better than any map."
"assam","Assam","northeast","Ganda-Kshetra — The Rhinoceros Realm","Ganda-Vahana (The Rhinoceros War Mount)","A war-trained one-horned rhinoceros named Vajrakavacha — who bowed to Kamalavarna at age three. The only mounted rhinoceros in the saga. In battle they are indistinguishable from each other.","Ganda-Ratha (Rhino-Profile Armored Vehicle)","A frontal-assault vehicle with rhino-horn profile — rounded frontal armor designed for battering through barriers. Amphibious for Brahmaputra crossing. Radar signature reduced to match rhino metabolic signature as cover."
"arunachal-pradesh","Arunachal Pradesh","northeast","Arunodaya-Kshetra — The Land of the Dawn","Surya-Ratha (The Dawn Chariot)","A light fast chariot built for the extreme slopes of Arunachal — suspension designed for 60-degree inclines. Painted sunrise orange-gold. Built to reach battle at dawn, before any enemy is fully awake.","Surya-Vega (Solar Dawn Jet)","A solar-supplemented VTOL aircraft that reaches full operational capacity at dawn. Painted in sunrise-orange and gold. The only vehicle in the northeast that can reach Tawang in under an hour from any border point."
"manipur","Manipur","northeast","Sangai-Nata — The Dance of the Dancing Deer","Sangai-Vahana (The Dancing Deer Mount)","A trained sangai deer named Laivak — the only sangai ever to leave Loktak Lake willingly. Does not carry Moirangthem into battle — dances alongside him. The sight of them together has stopped enemy charges.","Sangai-Vega (Phumdi Hovercraft)","A hovercraft designed to travel the phumdi floating islands of Loktak Lake — the only vehicle that can navigate that terrain. Sangai-brown finish. Moves like water — no fixed path, no predictable trajectory."
"meghalaya","Meghalaya","northeast","Megha-Maata — The Cloud Mother","Megha-Shardula (The Cloud Leopard Mount)","A clouded leopard named Nongkrem — the only clouded leopard that has remained visible in the Meghalaya forest for more than a week. They move together in absolute silence. In heavy cloud, they become invisible even to each other.","Megha-Vahana (Cloud-Riding Dirigible)","A silent hydrogen dirigible that travels within the Meghalaya cloud layer — below radar, above visual detection. The only vehicle in the saga that literally travels inside clouds. Navigation by lightning-pattern reading."
"mizoram","Mizoram","northeast","Tlawmngaihna-Desh — The Land of Selfless Duty","Hnam-Vahana (The Clan Carrier)","Not a war vehicle but a community carrier — a large bamboo-framed platform carried by twenty Mizo warriors that can traverse the steep Mizoram hills faster than any wheeled vehicle. Converts to a siege platform at the destination.","Hnam-Vahana Mk.II (Sustainable Community Transport)","A bamboo-composite biodiesel community vehicle — carries twelve warriors and their equipment across Mizoram mountain terrain. Solar roof panels. Built from local materials and repairable in any Mizo village."
"nagaland","Nagaland","northeast","Dzukou-Rashtra — The Valley Kingdom","Dzukou-Vahana (The Valley Bull Mount)","A gayal bull named Khrielietuo — massive even by gayal standards. Painted in tribal war patterns before combat. The sight of Dzulevira mounted on him has ended two battles before they began.","Dzukou-Ratha (Valley Terrain Command Vehicle)","A high-clearance command vehicle designed for the Naga hills — extreme articulation for 70-degree terrain. Tribal pattern exterior. Carries a council of six advisors and their equipment into remote valley positions."
"sikkim","Sikkim","northeast","Beyul-Kshetra — The Hidden Land","Beyul-Vahana (The Sacred Yak)","A white yak named Dorje — consecrated at Rumtek monastery. Wears prayer flags as caparison. Carries Kanchenjunga on the high passes where no other animal can breathe. Said to know the way to Beyul itself.","Beyul-Vahana Mk.II (Minimal-Impact Terrain Vehicle)","A vehicle designed to leave no trace — zero-emission, track-erasing, noise-suppressed. Used to reach monastery positions and remove retreating populations. The philosophy of hidden land made vehicular."
"tripura","Tripura","northeast","Tri-Pura — The Three Cities","Tri-Ratha (The Three Cities","A chariot that disassembles into three independent units — each operates alone but recombines in any configuration. The structural logic that built the Three Cities applied to transport.","Tri-Vahana (Modular Field Command Vehicle)","A modular vehicle in three independently-powered sections. Separates for reconnaissance, combines for assault. Each section can survive independently. The three-city logic at operational scale."
"madhya-pradesh","Madhya Pradesh","central","Hridaya-Sthana — The Place of the Heart","Hridaya-Ratha (The Heart Chariot)","A chariot built at the geographical centre of India — the materials sourced from all six regions. Twelve horses, one for each philosophical tradition he carries. The vehicle that literally represents the nation","Hridaya-Ratha Mk.II (Mobile Council Vehicle)","A mobile council chamber — twelve advisors seated in a ring around Dvadashashringa as the vehicle moves. The central command vehicle for all inter-regional coordination. Always moving, always at the heart."
"chhattisgarh","Chhattisgarh","central","Dandakaranya — The Forest of Destiny","Vana-Vahana (The Wild Buffalo Mount)","A wild buffalo named Dandeshwara — not trained, understood. Responds to Dandakarni","Vana-Ratha (Forest Biodiesel Strike Truck)","A biodiesel forest vehicle running on forest-derived fuel — built and repaired using local tribal materials. Tracks designed to disturb soil minimally. The vehicle as an extension of the forest food-sovereignty principle."